"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"4.3.1","4.4","395258bc",0,8,443,2,2,2,"Thu",15,"Oct",3,0,12,88,1,18,0.23,1,"1","0"
"3.7.1","3.8","734fe0f6",1,34,96,9,4,1,"Fri",8,"Nov",7,90,1,1876,104,323,0.7,1,"1","0"
"2.9.2","3.0","ff3b452d",1,10,404,6,0,1,"Thu",1,"Apr",6,123,1,2026,169,462,0.82,6,"1","0"
"2.5.1","2.6","1527357b",0,8,1891,35,0,2,"Thu",10,"Jul",1,1,2,31,1,3,0,4,"1","0"
"3.6.1","3.7","a1fb6e00",0,10,75,9,1,1,"Fri",20,"Sep",4,0,39,213,0,39,0.1,1,"1","0"
"3.3.2","3.3.3","ab714614",0,2,2132,6,2,2,"Wed",27,"Jun",1,0,3,165,0,40,0.07,1,"1","0"
"2.7.1","2.8","084280b7",1,13,531,6,10,1,"Sun",24,"May",2,9,2,73,15,19,0.18,3,"1","0"
"4.3.1","4.4","2583c1e4",1,12,1248,3,3,2,"Fri",6,"Nov",7,142,1,2363,174,512,0.98,1,"1","0"
"3.3.2","3.4","43979f17",1,31,7123,9,14,1,"Mon",23,"Apr",3,15,1,174,23,53,0.97,7,"1","0"
"3.2.1","3.3","7aedd7ec",1,22,6889,10,2,1,"Wed",21,"Sep",7,85,1,1590,99,271,0.73,6,"1","0"
"4.5.3","4.6","bfe46464",1,48,1011,3,3,2,"Tue",5,"Jul",0,0,1,6,0,4,4.17,2,"1","0"
"2.9.2","3.0","aca357b3",1,12,887,5,4,2,"Mon",3,"May",6,33,1,981,52,260,0.38,4,"1","0"
"3.5.2","3.6","9f7ba753",0,10,1092,3,3,1,"Wed",10,"Jul",3,15,1,172,21,53,0.98,3,"1","0"
"3.6.1","3.7","d729fbf8",0,20,80,2,2,2,"Fri",20,"Sep",5,0,49,241,0,51,0.04,2,"1","0"
"2.5","2.5.1","dcd9f8b4",1,21,197,7,7,2,"Mon",31,"Mar",0,0,1,4,0,3,3.5,1,"1","0"
"4.3.1","4.4","80654eb1",0,9,499,3,3,2,"Thu",1,"Oct",6,105,1,2297,212,589,0.92,2,"1","0"
"2.7","2.7.1","171034ed",1,22,4417,28,3,2,"Tue",30,"Dec",6,40,1,1079,65,309,0.84,12,"1","0"
"3.3.2","3.4","38dffbfe",0,17,1019,1,1,1,"Tue",1,"May",7,87,1,1717,101,299,0.72,1,"1","0"
"2.7.1","2.8","e48a11f1",0,15,531,21,0,1,"Sun",24,"May",5,58,1,1091,74,193,0.72,5,"1","0"
